id,category,price,brand,itemname,size,unit
743,crisps,0.69,pringles,pringles salt & vinegar crisps 40g,40.0,g
744,crisps,1.0,monster munch,walkers monster munch roast beef snacks £1 pmp 60g,60.0,g
745,crisps,1.0,hula hoops,hula hoops big hoops salted potato rings 80g,80.0,g
746,crisps,1.0,nik naks,nik naks rib 'n' saucy flavour 85g,85.0,g
747,crisps,0.39,cheetos,cheetos twisted flamin' hot snacks 39p pmp 30g,30.0,g
748,crisps,1.0,walkers,walkers max punchy paprika crisps £1 pmp 70g,70.0,g
749,crisps,0.65,walkers,walkers ready salted crisps 65p pmp 32.5g,32.5,g
750,crisps,1.0,mccoy's,mccoy's cheddar & onion flavour ridge cut potato crisps 65g,65.0,g
751,crisps,1.0,wheat crunchies,wheat crunchies crispy bacon flavour wheaty tubes with a serious crunch 78g,78.0,g
752,crisps,0.39,cheetos,cheetos crunchy cheese snacks 39p pmp 30g,30.0,g
753,crisps,0.3,space raiders,space raiders beef flavour cosmic corn snacks 25g,25.0,g
754,crisps,2.49,pringles,pringles cheese & onion 200g,200.0,g
755,crisps,1.0,jacob's,jacob's mini cheddars original 105g,105.0,g
756,crisps,1.0,walkers,walkers salt & vinegar crisps £1 pmp 75g,75.0,g
757,crisps,1.0,mccoy's,mccoy's thai sweet chicken flavour ridge cut potato crisps 65g,65.0,g
758,crisps,1.0,mccoy's,mccoy's salt & malt vinegar flavour ridge cut potato crisps 65g,65.0,g
759,crisps,1.0,quavers,walkers quavers cheese snacks £1 pmp 45g,45.0,g
760,crisps,0.39,smiths,smiths snaps spicy tomato snacks 39p pmp 21g,21.0,g
761,crisps,0.99,best-one,best-one roasted & salted pistachios 65g,65.0,g
762,crisps,0.3,space raiders,space raiders pickled onion flavour cosmic corn snacks 25g,25.0,g
763,crisps,0.39,smiths,smiths frazzles crispy bacon snacks 39p pmp 34g,34.0,g
764,crisps,1.0,mccoy's,mccoy's fiery steak flavour ridge cut potato crisps 65g,65.0,g
765,crisps,0.39,golden wonder,golden wonder transform-a-snack saucy bbq flavour snacks 30g,30.0,g
766,crisps,1.0,space raiders,space raiders beef flavour cosmic corn snacks 78g,78.0,g
767,crisps,1.65,walkers,walkers classic variety crisps 6x25g,6.0,pk
768,crisps,0.69,pringles,"pringles hot & spicy crisps, 40g",40.0,g
769,crisps,0.39,smiths,smiths chipsticks salt & vinegar snacks 39p pmp 37g,37.0,g
770,crisps,1.0,golden wonder,golden wonder ringos cheese & onion 55g,55.0,g
771,crisps,0.65,walkers,walkers prawn cocktail crisps 65p pmp 32.5g,32.5,g
772,crisps,0.39,golden wonder,golden wonder transform-a-snack spicy flavour snacks 30g,30.0,g
773,crisps,0.59,wotsits,walkers wotsits really cheesy snacks 59p pmp 22.5g,23.0,g
774,crisps,0.65,walkers,walkers salt & vinegar crisps 65p pmp 32.5g,32.5,g
775,crisps,1.0,walkers,walkers max strong hot chicken wings crisps £1 pmp 70g,70.0,g
776,crisps,0.39,discos,discos salt & vinegar flavour 34g,34.0,g
777,crisps,1.0,pringles,pringles texas bbq sauce crisps 70g,70.0,g
778,crisps,1.0,space raiders,space raiders pickled onion flavour cosmic corn snacks 78g,78.0,g
779,crisps,1.0,sensations,sensations chicken & thyme crisps £1 pmp 73g,73.0,g
780,crisps,0.39,golden wonder,golden wonder transform-a-snack cheese & onion flavour snacks 30g,30.0,g
781,crisps,1.0,golden wonder,golden wonder transform-a-snack heroic saucy bbq flavour snacks 90g,90.0,g
782,crisps,1.0,smiths,smiths frazzles crispy bacon snacks £1 pmp 75g,75.0,g
783,crisps,1.0,hula hoops,hula hoops big hoops spicy chilli flavour potato rings 80g,80.0,g
784,crisps,0.71,walkers,walkers roast chicken crisps 32.5g,32.5,g
785,crisps,1.0,roysters,roysters bubbled chips t-bone steak flavour 65g,65.0,g
786,crisps,0.3,golden wonder,golden wonder tangy toms tomato flavour corn snacks 25g,25.0,g
787,crisps,1.0,doritos,doritos flame grilled steak tortilla chips £1 pmp 80g,80.0,g
788,crisps,1.0,walkers,walkers max double crunch loaded cheddar & onion crisps £1 pmp 65g,65.0,g
789,crisps,1.0,smiths,smiths chipsticks salt 'n' vinegar snacks £1 pmp 82g,75.0,g
790,crisps,1.0,walkers,walkers max double crunch bold bbq ribs crisps £1 pmp 65g,65.0,g
791,crisps,0.71,walkers,walkers squares cheese & onion snacks 27.5g,27.5,g
792,crisps,0.39,wheat crunchies,wheat crunchies crispy bacon flavour wheaty tubes with a serious crunch 36g,36.0,g
793,crisps,1.0,golden wonder,golden wonder transform-a-snack spicy flavour snacks 90g,90.0,g
794,crisps,0.39,skips,skips tingly prawn cocktail flavour 17g,17.0,g
795,crisps,1.0,golden wonder,golden wonder tangy toms tomato flavour corn snacks 110g,110.0,g
796,crisps,3.46,wotsits,walkers wotsits really cheesy snacks 12x16.5g,12.0,pk
797,crisps,0.3,golden wonder,golden wonder spicy bikers spicy flavour corn snacks 25g,25.0,g
798,crisps,1.0,pringles,pringles original crisps 70g,70.0,g
799,crisps,1.0,cheetos,cheetos twisted flamin' hot snacks £1 pmp 65g,65.0,g
800,crisps,1.0,walkers,walkers max strong jalapeño & cheese crisps £1 pmp 70g,70.0,g
801,crisps,1.0,walkers,walkers cheese & onion crisps £1 pmp 65g,65.0,g
802,crisps,0.3,golden wonder,golden wonder quarter backs cheeseburger flavour corn snacks 25g,25.0,g
803,crisps,0.59,squares,walkers squares salt & vinegar snacks 59p pmp 27.5g,27.5,g
804,crisps,10.0,walkers,walkers variety crisps box 36x25g,36.0,pk
805,crisps,1.49,best-one,best-one salted cashews 70g,70.0,g
806,crisps,0.69,jacob's,jacob's mini cheddars branston pickle flavour 50g,50.0,g
807,crisps,0.59,doritos,doritos chilli heatwave tortilla chips 59p pmp 40g,40.0,g
808,crisps,1.0,golden wonder,golden wonder ringos salt & vinegar 55g,55.0,g
809,crisps,1.0,jacob's,jacob's twiglets original 105g,105.0,g
810,crisps,0.63,hula hoops,hula hoops bbq beef flavour potato rings 34g,34.0,g
811,crisps,1.65,walkers,walkers meaty variety crisps 6x25g,6.0,pk
812,crisps,0.59,doritos,doritos tangy cheese tortilla chips 59p pmp 40g,40.0,g
813,crisps,0.39,frisps,frisps cheese & onion flavour snacks 34g,34.0,g
814,crisps,0.65,walkers,walkers smoky bacon crisps 65p pmp 32.5g,32.5,g
815,crisps,0.3,golden wonder,golden wonder awesome oinks bacon flavour corn snacks 25g,25.0,g
816,crisps,0.71,walkers,walkers pickled onion crisps 32.5g,32.5,g
817,crisps,1.0,golden wonder,golden wonder saucers barbecue flavour snacks 75g,75.0,g
818,crisps,0.63,hula hoops,hula hoops original potato rings 34g,34.0,g
819,crisps,1.0,cofresh,cofresh bombay mix 400g,400.0,g
820,crisps,0.39,golden wonder,golden wonder ringos salt & vinegar 18g,18.0,g
821,crisps,1.0,pringles,pringles original crisps 70g,70.0,g
822,crisps,0.59,discos,discos cheese & onion flavour 25.5g,25.5,g
823,crisps,0.71,walkers,walkers cheese & onion crisps 32.5g,32.5,g
824,crisps,1.0,jacob's,jacob's baked crinklys chilli beef flavour 105g,105.0,g
825,crisps,1.0,cofresh,cofresh monkey nuts 300g,300.0,g
826,crisps,3.46,quavers,walkers quavers cheese snacks 12x16g,16.4,g
827,crisps,0.3,space raiders,space raiders spicy flavour cosmic corn snacks 25g,25.0,g
828,crisps,0.71,french fries,walkers french fries worcester sauce snacks 21g,21.0,g
829,crisps,1.65,walkers,walkers salt & vinegar crisps 6x25g,25.0,g
830,crisps,1.65,walkers,walkers prawn cocktail crisps 6x25g,6.0,pk
831,crisps,1.29,best-one,best-one bombay mix 450g,450.0,g
832,crisps,0.71,french fries,walkers french fries ready salted snacks 21g,21.0,g
833,crisps,0.71,walkers,walkers tomato ketchup crisps 32.5g,32.5,g
834,crisps,0.69,jacobs,jacobs baked crinklys cheese & onion flavour 50g,50.0,g
835,crisps,1.0,kettle,kettle® mature cheddar & red onion british potato chips 80g,80.0,g
836,crisps,1.0,cofresh,cofresh gujarati mix 350g,350.0,g
837,crisps,0.89,mccoy's,the real mccoy's flame grilled steak ridge cut potato crisps 47.5g,47.5,g
838,crisps,0.89,mccoy's,the real mccoy's ridge cut thai sweet chicken potato crisps 47.5g,48.0,g
839,crisps,0.89,best-one,best-one fruit & nut mix 75g,75.0,g
840,crisps,1.0,cofresh,cofresh chilli & lemon corn nuts 350g,350.0,g
841,crisps,1.0,kettle,kettle® sweet chilli & sour cream 80g,80.0,g
842,crisps,1.0,mccoy's,mccoy's chip shop salt & vinegar flavour potato snack 70g,70.0,g
843,crisps,1.0,kettle,kettle® lightly salted 80g,80.0,g
844,crisps,1.49,best-one,best-one spicy cashews 70g,70.0,g
845,crisps,1.0,kettle,kettle® sea salt & balsamic vinegar of modena 80g,80.0,g
846,crisps,0.71,squares,walkers squares salt & vinegar snacks 27.5g,27.5,g
847,crisps,0.89,mccoy's,the real mccoy's salt & malt vinegar flavour ridge cut potato crisps 47.5g,48.0,g
848,crisps,1.0,nando's,nando's peri-peri grooves spicy chicken groove cut potato chips 90g,90.0,g
849,crisps,0.8,pringles,"pringles paprika crisps, 40g",40.0,g
850,crisps,0.85,walkers,walkers max punchy paprika crisps 50g,50.0,g
851,crisps,1.0,walkers,walkers salt & vinegar crisps £1 pmp 65g,65.0,g
852,crisps,0.9,brannigans,brannigans roast beef & mustard flavour potato crisps 40g,40.0,g
853,crisps,0.89,mccoy's,mccoy's cheddar & onion flavour ridge cut potato crisps 47.5g,48.0,g
854,crisps,0.71,quavers,walkers quavers cheese snacks 20g,20.0,g
855,crisps,1.0,mccoy's,mccoy's chip shop curry sauce flavour potato snack 70g,70.0,g
856,crisps,0.85,monster munch,walkers monster munch pickled onion snacks 40g,40.0,g
857,crisps,1.0,cofresh,cofresh sweet & spicy corn flake mix 380g,380.0,g
858,crisps,1.0,walkers,walkers ready salted crisps £1 pmp 65g,65.0,g
859,crisps,0.71,walkers,walkers salt & vinegar crisps 32.5g,32.5,g
860,crisps,1.99,pringles,pringles rice fusions crisps peking duck with hoisin sauce flavour 160g,160.0,g
861,crisps,0.9,brannigans,brannigans smoked ham & pickle flavour potato crisps 40g,40.0,g
862,crisps,3.73,walkers,walkers cheese & onion crisps 12x25g,12.0,pk
863,crisps,1.19,best-one,best-one raw cashews 70g,70.0,g
864,crisps,0.68,baked,walkers baked cheese & onion snacks 37.5g,37.5,g
865,crisps,0.71,walkers,walkers prawn cocktail crisps 32.5g,32.5,g
866,crisps,0.67,hula hoops,hula hoops cheese & onion flavour potato rings 34g,34.0,g
867,crisps,0.59,best-one,best-one roasted monkey nuts 120g,120.0,g
868,crisps,0.59,doritos,doritos cool original tortilla chips 59p pmp 40g,40.0,g
869,crisps,1.0,best-one,best-one inspired hand cooked sea salt & cider vinegar crisps 150g,150.0,g
870,crisps,1.0,kettle,kettle® sea salt & crushed black peppercorns 80g,80.0,g
871,crisps,0.85,monster munch,walkers monster munch roast beef snacks 40g,40.0,g
872,crisps,1.0,cofresh,cofresh green peas & peanuts 350g,350.0,g
873,crisps,0.71,walkers,walkers worcester sauce crisps 32.5g,32.5,g
874,crisps,1.0,cofresh,cofresh chevda 380g,380.0,g
875,crisps,0.69,best-one,best-one salted peanuts 75g,75.0,g
876,crisps,0.71,walkers,walkers marmite crisps 32.5g,32.5,g
877,crisps,1.0,cofresh,cofresh gujarati thin sev 300g,300.0,g
878,crisps,0.85,monster munch,walkers monster munch flamin' hot snacks 40g,40.0,g
879,crisps,0.69,jacob's,jacob's mini cheddars red leicester flavour 50g,50.0,g
880,crisps,1.0,golden wonder,golden wonder ringos sweet chilli 55g,55.0,g
881,crisps,1.65,walkers,walkers classic variety crisps 6x25g,6.0,pk
882,crisps,0.71,wotsits,walkers wotsits really cheesy snacks 22.5g,22.5,g
883,crisps,0.85,walkers,walkers ready salted grab bag crisps 50g,50.0,g
884,crisps,3.46,quavers,walkers quavers cheese snacks 12x16g,16.4,g
885,crisps,0.71,walkers,walkers smoky bacon crisps 32.5g,32.5,g
886,crisps,0.59,best-one,best-one onion rings 75g,75.0,g
887,crisps,0.89,eat real,eat real hummus chips sea salt flavour 45g,45.0,g
888,crisps,0.79,walkers,walkers max double crunch bold bbq ribs crisps 50g,50.0,g
889,crisps,0.67,hula hoops,hula hoops salt & vinegar flavour potato rings 34g,34.0,g
890,crisps,1.0,best-one,best-one inspired hand cooked sea salt crisps 150g,150.0,g
891,crisps,0.67,hula hoops,hula hoops bbq beef flavour potato rings 34g,34.0,g
892,crisps,0.69,best-one,best-one snack mix 75g,75.0,g
893,crisps,0.85,walkers,walkers max fiercely flamin' hot crisps 50g,50.0,g
894,crisps,1.0,best-one,best-one inspired hand cooked mature cheddar & caramelised red onion crisps 150g,150.0,g
895,crisps,0.85,walkers,walkers max sizzling flame grilled steak crisps 50g,50.0,g
896,crisps,0.39,golden wonder,golden wonder transform-a-snack flamin' hot chilli 30g,30.0,g
897,crisps,1.0,mccoy's,mccoy's muchos folded crispy tortilla snacks smoky chilli chicken flavour 80g,80.0,g
898,crisps,0.85,walkers,walkers prawn cocktail grab bag crisps 50g,50.0,g
899,crisps,1.0,crunchips,crunchips paprika x-cut 85g,85.0,g
900,crisps,0.67,nik naks,nik naks nice 'n' spicy flavour 30g,30.0,g
901,crisps,0.67,hula hoops,hula hoops original potato rings 34g,34.0,g
902,crisps,2.85,pringles,"pringles texas bbq sauce crisps, 200g",200.0,g
903,crisps,0.85,walkers,walkers max chunky cheese & onion crisps 50g,50.0,g
904,crisps,0.89,eat real,eat real veggie straws kale tomato spinach 45g,45.0,g
905,crisps,0.6,eat real,eat real lentil chips chilli & lemon flavour 40g,40.0,g
906,crisps,0.99,cofresh,cofresh roasted & salted pistachio nuts 60g,60.0,g
907,crisps,1.0,sensations,sensations thai sweet chilli crisps £1 pmp 65g,65.0,g
908,crisps,0.85,walkers,walkers salt & vinegar grab bag crisps 50g,50.0,g
909,crisps,0.89,eat real,eat real quinoa chips sour cream & chives flavour 30g,30.0,g
910,crisps,0.89,eat real,eat real lentil chips tomato & basil flavour 40g,40.0,g
911,crisps,2.85,pringles,"pringles sour cream & onion crisps, 200g",200.0,g
912,crisps,0.79,walkers,walkers max double crunch loaded cheddar & onion crisps 50g,50.0,g
913,crisps,1.0,golden wonder,golden wonder chippies ready salted potato sticks 100g,100.0,g
914,crisps,1.0,cofresh,cofresh bombay mix 400g,400.0,g
915,crisps,1.0,hula hoops,hula hoops flavarings tangy cheese flavour 55g,55.0,g
916,crisps,0.89,kettle,kettle® sea salt & balsamic vinegar of modena 40g,40.0,g
917,crisps,0.69,kettle,kettle® lightly salted 40g,40.0,g
918,crisps,0.67,nik naks,nik naks rib 'n' saucy flavour 30g,30.0,g
919,crisps,0.5,pom-bear,pom-bear original potato snacks 19g,19.0,g
920,crisps,0.85,snack a jacks,snack a jacks salt & vinegar rice cakes 23g,23.0,g
921,crisps,0.59,best-one,best-one bacon rashers 75g,75.0,g
922,crisps,0.89,mccoy's,the real mccoy's salted flavour ridge cut potato crisps 47.5g,48.0,g
923,crisps,0.89,mccoy's,the real mccoy's ridge cut sizzling king prawn flavour potato crisps 47.5g,48.0,g
924,crisps,0.89,kettle,kettle® chips lightly salted 40g,40.0,g
925,crisps,0.49,cofresh,cofresh balti mix savoury indian snack 80g,80.0,g
926,crisps,1.0,cofresh,cofresh monkey nuts 300g,300.0,g
927,crisps,1.65,walkers,walkers prawn cocktail crisps 6x25g,6.0,pk
928,crisps,0.89,kettle,kettle® chips sea salt & crushed black peppercorns 40g,40.0,g
929,crisps,0.69,doritos,doritos tangy cheese tortilla chips 40g,40.0,g
930,crisps,1.84,wotsits,walkers wotsits really cheesy snacks 6x16.5g,6.0,pk
931,crisps,3.46,wotsits,walkers wotsits really cheesy snacks 12x16.5g,12.0,pk
932,crisps,2.85,pringles,pringles original crisps 200g,200.0,g
933,crisps,1.6,kettle,kettle® chips lightly salted 150g,150.0,g
934,crisps,0.85,walkers,walkers max strong hot chicken wings crisps 50g,50.0,g
935,crisps,1.49,best-one,best-one salt 'n' vinegar cashews 70g,75.0,g
936,crisps,0.85,walkers,walkers max strong jalapeño & cheese crisps 50g,50.0,g
937,crisps,0.89,kettle,kettle® mature cheddar & red onion british potato chips 40g,40.0,g
938,crisps,0.69,kettle,kettle® sea salt & balsamic vinegar of modena 40g,40.0,g
939,crisps,1.65,walkers,walkers salt & vinegar crisps 6x25g,25.0,g
940,crisps,1.0,cofresh,cofresh green peas & peanuts 350g,350.0,g
941,crisps,0.69,kettle,kettle® mature cheddar & red onion british potato chips 40g,40.0,g
942,crisps,0.85,quavers,walkers quavers cheese snacks 34g,34.0,g
943,crisps,0.69,doritos,doritos chilli heatwave tortilla chips 40g,40.0,g
944,crisps,0.89,kettle,kettle® sweet chilli & sour cream 40g,40.0,g
945,crisps,0.69,kettle,kettle® sweet chilli & sour cream 40g,40.0,g
946,crisps,0.69,sunbites,sunbites sweet chilli flavour multigrain snacks 28g,28.0,g
947,crisps,1.65,walkers,walkers meaty variety crisps 6x25g,6.0,pk
948,crisps,1.6,kettle,kettle® chips lightly salted 150g,150.0,g
949,crisps,1.0,best-one,best-one inspired hand cooked sea salt & cider vinegar crisps 150g,150.0,g
950,crisps,1.0,cofresh,cofresh gujarati thin sev 300g,300.0,g
951,crisps,2.09,baked,walkers baked cheese & onion snacks 6x25g,6.0,pk
952,crisps,1.0,best-one,best-one inspired hand cooked mature cheddar & caramelised red onion crisps 150g,150.0,g
953,crisps,1.0,cofresh,cofresh chevda 380g,380.0,g
954,crisps,0.48,golden wonder,golden wonder bacon flavour bites 25g,25.0,g
955,crisps,1.0,walkers,walkers turkey & stuffing crisps £1 pmp 75g,75.0,g
956,crisps,1.6,kettle,kettle® chips sea salt & crushed black peppercorns 150g,150.0,g
957,crisps,0.69,doritos,doritos cool original tortilla chips 40g,40.0,g
958,crisps,1.0,cofresh,cofresh gujarati mix 350g,350.0,g
959,crisps,0.59,best-one,best-one salt 'n' vinegar sticks 75g,75.0,g
960,crisps,1.6,kettle,kettle® chips sour cream & sweet onion 150g,150.0,g
961,crisps,3.73,walkers,walkers ready salted crisps 12x25g,12.0,pk
962,crisps,1.0,best-one,best-one inspired hand cooked sea salt crisps 150g,150.0,g
963,crisps,0.85,doritos,doritos chilli heatwave tortilla chips 55g,55.0,g
964,crisps,1.6,kettle,kettle® chips sea salt & crushed black peppercorns 150g,150.0,g
965,crisps,1.0,cofresh,cofresh sweet & spicy corn flake mix 380g,380.0,g
966,crisps,1.0,cofresh,cofresh chilli & lemon corn nuts 350g,350.0,g
967,crisps,3.73,walkers,walkers ready salted crisps 12x25g,12.0,pk
968,crisps,3.73,walkers,walkers cheese & onion crisps 12x25g,12.0,pk
969,crisps,1.84,wotsits,walkers wotsits really cheesy snacks 6x16.5g,6.0,pk
970,crisps,0.61,pom-bear,pom-bear original potato snacks 19g,19.0,g
971,crisps,0.69,jacob's,jacob's mini cheddars original 50g,50.0,g
972,crisps,1.6,kettle,kettle® chips sweet chilli & sour cream 150g,150.0,g
973,crisps,1.6,kettle,kettle® chips sweet chilli & sour cream 150g,150.0,g
974,crisps,0.48,golden wonder,golden wonder bacon flavour bites 25g,25.0,g
975,crisps,0.89,metcalfe's,metcalfe's ricecakes dark chocolate 34g,34.0,g
976,crisps,0.69,smiths,smiths scampi & lemon snacks 27g,27.0,g
977,crisps,0.69,jacob's,jacob's mini cheddars smoky bbq flavour 50g,50.0,g
978,crisps,0.8,pringles,pringles salt & vinegar crisps 40g,40.0,g
979,crisps,0.8,pringles,pringles sour cream & onion crisps 40g,40.0,g
980,crisps,0.8,pringles,pringles bbq crisps 40g,40.0,g
981,crisps,0.8,pringles,pringles original crisps 40g,40.0,g
982,crisps,0.83,sensations,sensations thai sweet chilli crisps 40g,40.0,g
983,crisps,1.6,kettle,kettle® sea salt & balsamic vinegar of modena 150g,150.0,g
984,crisps,1.6,kettle,kettle® sea salt & balsamic vinegar of modena 150g,150.0,g
985,crisps,2.09,baked,walkers baked cheese & onion snacks 6x25g,6.0,pk
986,hot drinks,1.59,taylors of harrogate,taylors of harrogate yorkshire tea 40 tea bags 125g,40.0,s
987,hot drinks,1.0,tetley,tetley original pmp tea bags x40,40.0,s
988,hot drinks,1.0,nescafé,nescafé original 3 in 1 6 x 17g (102g),17.0,g
989,hot drinks,2.65,pg tips,pg tips original 80 tea bags,80.0,s
990,hot drinks,1.19,best-one,best-one instant coffee granules medium roast 100g,100.0,g
991,hot drinks,2.0,tetley,tetley original tea bags pmp x80,80.0,s
992,hot drinks,3.49,kenco,kenco smooth instant coffee 100g £3.49 pmp,100.0,g
993,hot drinks,2.19,nescafé,nescafé original instant coffee 50g,50.0,g
994,hot drinks,2.65,tetley,tetley original tea bags pmp x80,80.0,s
995,hot drinks,1.99,cadbury,cadbury drinking hot chocolate £1.99 250g,250.0,g
996,hot drinks,1.0,best-one,best-one coffee creamer 250g,250.0,g
997,hot drinks,1.0,nescafé,"nescafé original 3in1 caramel instant coffee, 6 sachets x 17g",17.0,g
998,hot drinks,3.49,kenco,kenco rich instant coffee 100g £3.49 pmp,100.0,g
999,hot drinks,1.0,nescafé,nescafé original 2 in 1 6 x 10g (60g),10.0,g
1000,hot drinks,1.99,best-one,best-one hot chocolate 400g,400.0,g
1001,hot drinks,3.99,l'or,l'or classique instant coffee 100g,100.0,g
1002,hot drinks,1.5,fresh brew,fresh brew 80 round tea bags 232g,80.0,s
1003,hot drinks,2.0,typhoo,typhoo 80 tea foil fresh teabags 232g,80.0,s
1004,hot drinks,1.0,typhoo,typhoo 40 foil fresh teabags 116g,40.0,s
1005,hot drinks,3.0,nescafé,"nescafé gold cappuccino coffee, 8 sachets x 17g",17.0,g
1006,hot drinks,2.69,mellow bird's,mellow bird's instant coffee powder 100g,100.0,g
1007,hot drinks,1.49,weetabix,weetabix on the go strawberry breakfast drinks case 8 x 250ml pmp £1.49,250.0,ml
1008,hot drinks,3.79,kenco,kenco decaf instant coffee 100g £3.79 pmp,100.0,g
1009,hot drinks,1.75,tetley,tetley original decaf tea bags pmp x40,40.0,s
1010,hot drinks,1.49,weetabix,weetabix on the go chocolate breakfast drinks case 8 x 250ml pmp £1.49,250.0,ml
1011,hot drinks,1.49,weetabix,weetabix on the go banana breakfast drinks case 8 x 250ml pmp £1.49,250.0,ml
1012,hot drinks,2.09,twinings,twinings lemon & ginger 20 single tea bags 30g,20.0,s
1013,hot drinks,3.49,nescafé,nescafé original decaff instant coffee 100g,100.0,g
1014,hot drinks,1.99,best-one,best-one rich roast coffee 100g,100.0,g
1015,hot drinks,3.89,douwe egberts,douwe egberts pure indulgence dark roast instant coffee 95g,95.0,g
1016,hot drinks,1.49,weetabix,weetabix on the go vanilla breakfast drinks case 8 x 250ml pmp £1.49,250.0,ml
1017,hot drinks,2.19,best-one,best-one gold roast instant coffee 100g,100.0,g
1018,hot drinks,1.49,tetley,tetley pure green tea bags pmp x20,20.0,s
1019,hot drinks,2.39,twinings,twinings pure green tea 20 single tea bags 50g,20.0,s
1020,hot drinks,3.59,twinings,twinings the earl grey 50 tea bags 125g,50.0,s
1021,hot drinks,3.59,twinings,twinings english breakfast 50 tea bags 125g,50.0,s
1022,hot drinks,1.99,taylors of harrogate,taylors of harrogate yorkshire gold 40 tea bags 125g,40.0,s
1023,hot drinks,1.49,tetley,tetley original tea bags pmp x40,40.0,s
1024,hot drinks,1.0,kenco,kenco 3 in 1 smooth white instant coffee with sugar £1 pmp sachets x5,5.0,pk
1025,hot drinks,1.0,kenco,kenco 2 in 1 smooth white instant coffee £1 pmp sachets x5,5.0,pk
1026,hot drinks,1.5,kenco,kenco latte instant coffee £1.50 pmp sachets x5,5.0,pk
1027,hot drinks,5.99,nido,nido® instant full cream milk powder 400g,400.0,g
1028,hot drinks,1.49,tetley,tetley lemon green tea bags pmp x20,20.0,s
1029,hot drinks,3.0,nescafé,"nescafé gold cappuccino unsweetened taste coffee, 8 sachets x 14.2g",14.2,g
1030,hot drinks,2.79,ovaltine,ovaltine original 300g,200.0,g
1031,hot drinks,1.5,kenco,kenco cappuccino instant coffee £1.50 pmp sachets x5,5.0,pk
1032,hot drinks,5.49,nescafé,nescafé azera americano instant coffee with ground beans 100g,100.0,g
1033,hot drinks,3.89,nescafé,nescafé azera americano barista style instant coffee with finely ground coffee 60g,60.0,g
1034,hot drinks,4.85,nescafé,nescafé gold decaff instant coffee 100g,100.0,g
1035,hot drinks,2.0,tetley,tetley original tea bags pmp x80,80.0,s
1036,hot drinks,3.0,nescafé,"nescafé gold latte coffee, 8 sachets x 19.5g",19.5,g
1037,hot drinks,4.49,milo,milo powder 400g tin (asian),400.0,g
1038,hot drinks,1.79,tetley,tetley super fruits immune lemon & ginger tea bags x20,20.0,s
1039,hot drinks,1.79,tetley,tetley super green tea immune tropical tea bags x20,20.0,s
1040,hot drinks,1.79,tetley,tetley super fruits boost blueberry & raspberry tea bags x20,20.0,s
1041,hot drinks,1.69,galaxy,galaxy instant hot chocolate 200g,200.0,g
1042,hot drinks,1.65,coffee mate,coffee mate light 200g,200.0,g
1043,hot drinks,0.35,cadbury,cadbury instant hot chocolate 28g,28.0,g
1044,hot drinks,3.0,nescafé,"nescafé gold mocha coffee, 8 sachets x 22g",22.0,g
1045,hot drinks,2.69,horlicks,horlicks original 300g,200.0,g
1046,hot drinks,2.09,twinings,twinings cranberry & raspberry 20 single tea bags 40g,20.0,s
1047,hot drinks,2.69,twinings,twinings jasmine green tea 20 single tea bags 50g,20.0,s
1048,hot drinks,1.79,tetley,tetley super green tea boost strawberry & raspberry tea bags x20,20.0,s
1049,hot drinks,2.99,best-one,best-one inspired colombian roast & ground coffee 227g,227.0,g
1050,hot drinks,2.09,twinings,twinings cherry & cinnamon 20 single tea bags 40g,20.0,s
1051,hot drinks,2.39,unik,unik sweetened badshahi chai premium masala premix 10 x 22g,220.0,g
1052,hot drinks,2.99,cadbury,cadbury oreo instant hot chocolate 260g,260.0,g
1053,hot drinks,3.99,kenco,kenco millicano americano original instant coffee 100g,100.0,g
1054,hot drinks,2.39,unik,unik sweetened instant ginger tea pre mix 10 x 22g,220.0,g
1055,hot drinks,7.0,kenco,kenco smooth instant coffee 200g,200.0,g
1056,hot drinks,2.29,best-one,best-one rich roast fresh ground coffee 227g,227.0,g
1057,hot drinks,2.69,twinings,twinings lemon green tea 20 single tea bags 40g,20.0,s
1058,hot drinks,0.4,cadbury,cadbury wispa frothy instant hot chocolate 27g,27.0,g
1059,hot drinks,3.19,tetley,tetley extra strong tea bags x75,75.0,s
1060,hot drinks,4.49,milo,milo powder 400g tin (asian),400.0,g
1061,hot drinks,2.49,best-one,best-one barista premium americano instant coffee 100g,100.0,g
1062,hot drinks,2.29,best-one,best-one french style fresh ground coffee 227g,227.0,g
1063,hot drinks,2.69,horlicks,horlicks chocolate 300g,300.0,g
1064,hot drinks,2.09,twinings,twinings pure fennel 20 single tea bags 40g,20.0,s
1065,hot drinks,2.99,cadbury,cadbury wispa frothy instant hot chocolate 246g,246.0,g
1066,hot drinks,1.49,azera,nescafé azera nitro latte,192.0,ml
1067,hot drinks,2.99,best-one,best-one inspired guatemalan roast & ground coffee 227g,227.0,g
1068,hot drinks,3.49,twinings,twinings assam 40 tea bags 100g,40.0,s
1069,hot drinks,1.55,tetley,tetley original easy squeeze tea bags x40,40.0,s
1070,hot drinks,2.29,tetley,tetley pure green tea bags x50,50.0,s
1071,hot drinks,7.59,nescafé,nescafé original instant coffee 300g,300.0,g
1072,hot drinks,1.99,maltesers,maltesers hot chocolate 180g,180.0,g
1073,hot drinks,0.5,horlicks,horlicks the original malted milk drink light 32g,32.0,g
1074,hot drinks,3.69,horlicks,horlicks original 500g,500.0,g
